"type	latitude	longitude	altitude (ft)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc"
"T	39.022924000	-94.447231000	1005.0	6.217	155.30"
"T	39.022727000	-94.447384000	1004.2	6.233	83.89"
"T	39.022570000	-94.447546000	1002.8	6.247	73.41"
"T	39.022375000	-94.447815000	1001.6	6.267	104.33"
"T	39.022197000	-94.448115000	1000.8	6.287	107.09"
"T	39.022069000	-94.448413000	1001.0	6.306	96.65"
"T	39.021946000	-94.448844000	1000.1	6.330	130.39"
"T	39.021620000	-94.450010000	999.9	6.397	351.92"
"T	39.021272000	-94.451194000	1001.2	6.465	359.49"
"T	39.021124000	-94.451748000	1003.3	6.497	166.38"
"T	39.021021000	-94.452049000	1004.9	6.514	93.39"
"T	39.020960000	-94.452189000	1005.4	6.523	45.56"
"T	39.020837000	-94.452402000	1006.2	6.537	75.30"
"T	39.020714000	-94.452598000	1007.8	6.551	71.47"
"T	39.020496000	-94.452834000	1008.4	6.570	103.93"
"T	39.020159000	-94.453145000	1009.0	6.599	151.24"
"T	39.019630000	-94.453545000	1010.0	6.641	223.70"
"T	39.019332000	-94.453767000	1012.3	6.665	125.54"
"T	39.019169000	-94.453888000	1013.6	6.678	68.60"
"T	39.018934000	-94.454102000	1017.0	6.698	104.99"
"T	39.018806000	-94.454249000	1018.7	6.710	62.59"
"T	39.018666000	-94.454444000	1019.6	6.724	75.30"
"T	39.018562000	-94.454620000	1020.4	6.736	62.73"
"T	39.018456000	-94.454842000	1021.1	6.750	73.96"
"T	39.018379000	-94.455044000	1020.6	6.762	63.88"
"T	39.018150000	-94.456103000	1019.5	6.821	312.24"
"T	39.018004000	-94.456583000	1020.8	6.849	146.39"
"T	39.017989000	-94.456621000	1021.0	6.851	12.10"
"T	39.017885000	-94.456835000	1022.0	6.865	71.64"
"T	39.017794000	-94.457022000	1022.6	6.877	62.62"
"T	39.017662000	-94.457209000	1023.9	6.890	71.66"
"T	39.017564000	-94.457349000	1023.7	6.900	53.45"
"T	39.017549000	-94.457370000	1023.7	6.902	8.09"
"T	39.016666000	-94.458324000	1013.0	6.982	420.61"
"T	39.016549000	-94.458436000	1012.4	6.992	53.19"
"T	39.015922000	-94.459132000	1009.3	7.049	302.10"
"T	39.015874000	-94.459185000	1009.3	7.053	23.07"
"T	39.015690000	-94.459390000	1011.1	7.070	88.79"
"T	39.015456000	-94.459635000	1014.3	7.091	110.05"
"T	39.015305000	-94.459794000	1017.3	7.104	71.18"
"T	39.015131000	-94.459934000	1019.1	7.119	74.83"
"T	39.014915000	-94.460106000	1022.1	7.136	92.62"
"T	39.014799000	-94.460177000	1023.0	7.145	46.82"
"T	39.014678000	-94.460253000	1023.8	7.154	49.08"
"T	39.014291000	-94.460491000	1024.7	7.184	156.34"
"T	39.014105000	-94.460606000	1026.5	7.198	75.22"
"T	39.013681000	-94.460851000	1030.0	7.230	169.40"
"T	39.013646000	-94.460871000	1030.3	7.233	13.96"
"T	39.013226000	-94.461114000	1032.8	7.265	167.84"
"T	39.013002000	-94.461224000	1032.6	7.281	87.37"
"T	39.012931000	-94.461258000	1032.5	7.286	27.61"
"T	39.012724000	-94.461335000	1031.5	7.301	78.51"
"T	39.012627000	-94.461361000	1031.2	7.308	36.09"
"T	39.012548000	-94.461382000	1030.8	7.314	29.39"
"T	39.012480000	-94.461391000	1030.5	7.318	24.90"
"T	39.012396000	-94.461407000	1030.2	7.324	30.93"
"T	39.012299000	-94.461427000	1030.1	7.331	35.78"
"T	39.012237000	-94.461444000	1030.1	7.335	23.09"
"T	39.011955000	-94.461468000	1030.3	7.355	102.94"
"T	39.011735000	-94.461486000	1030.7	7.370	80.29"
"T	39.011716000	-94.461488000	1030.7	7.371	6.94"
"T	39.011458000	-94.461520000	1031.2	7.389	94.41"
"T	39.011097000	-94.461567000	1032.0	7.414	132.16"
"T	39.010955000	-94.461585000	1032.2	7.424	51.97"
"T	39.010505000	-94.461640000	1030.1	7.455	164.64"
"T	39.010068000	-94.461684000	1024.9	7.486	159.66"
"T	39.009486000	-94.461742000	1018.7	7.526	212.62"
"T	39.009165000	-94.461774000	1014.4	7.548	117.27"
"T	39.008749000	-94.461816000	1008.9	7.577	151.99"
"T	39.008763000	-94.462615000	1015.9	7.620	227.11"
"T	39.008769000	-94.462959000	1018.9	7.638	97.78"
"T	39.008752000	-94.463190000	1020.0	7.651	65.94"
"T	39.008701000	-94.463434000	1019.1	7.664	71.78"
"T	39.008618000	-94.463758000	1019.7	7.683	96.91"
"T	39.008576000	-94.463995000	1018.8	7.696	69.06"
"T	39.008550000	-94.464145000	1018.0	7.704	43.67"
"T	39.008545000	-94.464435000	1017.0	7.720	82.43"
"T	39.008550000	-94.464632000	1016.4	7.730	56.01"
"T	39.008557000	-94.465025000	1012.2	7.752	111.71"
"T	39.008560000	-94.465117000	1010.2	7.757	26.17"
"T	39.008579000	-94.465677000	1002.6	7.787	159.29"
"T	39.008596000	-94.466040000	1011.8	7.806	103.34"
"T	39.008598000	-94.466156000	1011.7	7.813	32.97"
"T	39.008600000	-94.466305000	1011.7	7.821	42.35"
"T	39.008603000	-94.466523000	1011.7	7.832	61.96"
"T	39.008607000	-94.466763000	1011.9	7.845	68.22"
"T	39.008619000	-94.467541000	1016.7	7.887	221.13"
"T	39.008629000	-94.468077000	1021.8	7.916	152.36"
"T	39.008629000	-94.468160000	1023.0	7.920	23.59"
"T	39.008636000	-94.468583000	1026.7	7.943	120.23"
"T	39.008641000	-94.468869000	1030.2	7.959	81.29"
"T	39.008641000	-94.468908000	1031.0	7.961	11.08"
"T	39.008645000	-94.469173000	1035.0	7.975	75.32"
"T	39.008646000	-94.469239000	1035.8	7.978	18.76"
"T	39.008647000	-94.469279000	1036.2	7.981	11.37"
"T	39.008648000	-94.469335000	1036.7	7.984	15.92"
"T	39.008650000	-94.469528000	1038.1	7.994	54.85"
"T	39.008652000	-94.469634000	1039.4	8.000	30.13"
"T	39.008656000	-94.469898000	1043.3	8.014	75.04"
"T	39.008661000	-94.470197000	1043.9	8.030	84.99"
"T	39.008665000	-94.470761000	1041.3	8.060	160.28"
"T	39.008668000	-94.470829000	1040.8	8.064	19.35"
"T	39.008717000	-94.471797000	1029.3	8.116	275.66"
"T	39.008740000	-94.472241000	1022.0	8.140	126.45"
"T	39.008763000	-94.472734000	1015.0	8.167	140.35"
"T	39.008773000	-94.472904000	1012.9	8.176	48.45"
"T	39.008814000	-94.473625000	1012.4	8.215	205.43"
"T	39.008836000	-94.474016000	1017.1	8.236	111.40"
"T	39.008889000	-94.474936000	1028.3	8.286	262.15"
"T	39.008890000	-94.474958000	1028.6	8.287	6.26"
"T	39.008950000	-94.475582000	1030.0	8.321	178.66"
"T	39.009324000	-94.477924000	1035.5	8.449	679.33"
"T	39.009385000	-94.478322000	1040.1	8.471	115.26"
"T	39.009498000	-94.479174000	1045.3	8.518	245.59"
"T	39.009530000	-94.479492000	1045.1	8.535	91.11"
"T	39.009563000	-94.480161000	1041.7	8.571	190.49"
"T	39.009582000	-94.480544000	1039.8	8.592	109.06"
"T	39.009608000	-94.481253000	1036.8	8.630	201.70"
"T	39.009632000	-94.481922000	1032.4	8.666	190.31"
"T	39.009123000	-94.481937000	1025.1	8.701	185.44"
"T	39.008959000	-94.481941000	1021.9	8.712	59.74"
"T	39.008869000	-94.481944000	1020.6	8.719	32.79"
"T	39.007748000	-94.482005000	1015.0	8.796	408.66"
"T	39.007070000	-94.482041000	1002.6	8.843	247.16"
"T	39.006302000	-94.482081000	1002.7	8.896	279.96"
"T	39.005106000	-94.482143000	1026.9	8.978	435.97"
"T	39.004405000	-94.482180000	1037.3	9.027	255.54"
"T	39.004238000	-94.482188000	1038.0	9.038	60.87"
"T	39.004221000	-94.482189000	1038.0	9.039	6.20"
"T	39.004010000	-94.482199000	1037.5	9.054	76.90"
"T	39.003682000	-94.482214000	1036.2	9.077	119.54"
"T	39.003596000	-94.482218000	1035.6	9.083	31.34"
"T	39.003355000	-94.482229000	1033.6	9.099	87.83"
"T	39.002982000	-94.482246000	1029.6	9.125	135.94"
"T	39.002946000	-94.482248000	1029.2	9.127	13.12"
"T	39.002424000	-94.482272000	1024.1	9.163	190.25"
"T	39.001854000	-94.482304000	1023.7	9.203	207.81"
"T	39.001445000	-94.482322000	1027.7	9.231	149.06"
"T	39.001327000	-94.482326000	1029.3	9.239	42.99"
"T	39.000862000	-94.482347000	1021.5	9.271	169.47"
"T	39.000333000	-94.482377000	1024.5	9.308	192.86"
"T	39.000176000	-94.482385000	1034.3	9.319	57.23"
"T	38.999698000	-94.482393000	1045.1	9.352	174.11"
"T	38.999300000	-94.482423000	1047.6	9.379	145.21"
"T	38.998856000	-94.482456000	1050.5	9.410	161.99"
"T	38.998501000	-94.482471000	1049.8	9.434	129.37"
"T	38.998219000	-94.482484000	1048.7	9.454	102.78"
"T	38.998107000	-94.482488000	1048.0	9.462	40.81"
"T	38.997758000	-94.482499000	1045.4	9.486	127.15"
"T	38.997714000	-94.482501000	1045.1	9.489	16.04"
"T	38.997408000	-94.482512000	1042.6	9.510	111.50"
"T	38.996734000	-94.482536000	1038.7	9.556	245.58"
"T	38.996419000	-94.482547000	1035.8	9.578	114.77"
"T	38.996134000	-94.482557000	1033.4	9.598	103.84"
"T	38.995737000	-94.482527000	1030.5	9.625	144.85"
"T	38.995637000	-94.482519000	1030.0	9.632	36.49"
"T	38.995146000	-94.482415000	1028.2	9.666	181.26"
"T	38.994074000	-94.482108000	1011.7	9.742	400.08"
